,Title,Career,Education,Work_area,pay,Employment_type,Company_name,Sectors
60,현장사무원,관계없음,학력무관,"경기도 광주시 회안대로 6, 2층 (매산동)",월급 200만원 ~ 200만원,기간의 정함이 있는 근로계약,(주)한국코아엔지니어링,엔지니어링 서비스업
61,자재구매 관리 직원 채용,관계없음,학력무관,전라북도 김제시 서흥공단2길 38 (흥사동),"연봉 2,500만원 이상",기간의 정함이 없는 근로계약,주식회사 삼부,화물자동차 및 특수목적용 자동차 제조업
62,주방직원모집,경력 (최소 0년 6 개월 이상) 우대,학력무관,"경기도 시흥시 서울대학로278번길 26, 135,0136호 (배곧동)",월급 250만원 ~ 300만원,기간의 정함이 없는 근로계약,금별맥주배곧신도시점,한식 일반 음식점업
63,공사현장 관리(경리) 업무 담당자,관계없음,고졸 ~ 대졸(4년),"경기도 이천시 대월면 대평로 236, (부필리 산79-2번지 일원)",월급 200만원 ~ 220만원,기간의 정함이 있는 근로계약,(주)케이알산업,종합 건설업
64,건설회사 현장관리(현장공무직 최소10년이상경력자)모집,경력 (최소 10년 0 개월 이상) 필수,대졸(2~3년) ~ 대졸(4년),"전라북도 정읍시 북면 정신로 101, (주)태진종합건설","연봉 6,500만원 이상",기간의 정함이 없는 근로계약,(주)태진종합건설,건설업본사
65,"[실감 콘텐츠,멀티미디어]융복합 체험 및 전시 담당 VR, AR 모집",경력 (최소 7년 0 개월 이상) 필수,대졸(4년) ~ 박사,"서울특별시 구로구 디지털로26길 111, 1705호 (구로동, 제이앤케이디지털타워)","연봉 3,000만원 ~ 5,000만원",기간의 정함이 있는 근로계약,(주)360미디어,그 외 기타 창작 및 예술관련 서비스업
66,북한산래미안아파트 경비원 모집,관계없음,학력무관,"서울특별시 은평구 진흥로 267 267, 북한산래미안아파트 (불광동)","시급 9,160원 ~ 9,160원",기간의 정함이 있는 근로계약,(주)아이원서비스,사업시설 유지ㆍ관리 서비스업
67,포원정보통신(주) 사무 행정인력 채용공고 - 도약장려금,관계없음,학력무관,"제주특별자치도 제주시 오라남로 14, 포원정보통신(주)","연봉 2,760만원 이상",기간의 정함이 없는 근로계약,포원정보통신(주),일반 통신 공사업
68,방문요양센터 사회복지사 구인,관계없음,학력무관,"경상북도 경주시 충효녹지길 102-1, 11 (충효동)",월급 191만원 이상,기간의 정함이 있는 근로계약,충효재가복지센터,그 외 기타 비거주 복지 서비스업
69,판매 및 재고관리 사원모집,관계없음,학력무관,경상남도 진주시 대신로 181,"연봉 2,700만원 이상",기간의 정함이 없는 근로계약,이오산전(EO산전),전기 공급 및 제어장치 제조업
70,"전략기획팀, 기획 및 전략[경력직]",경력 (최소 3년 0 개월 이상) 필수,대졸(2~3년) ~ 대졸(4년),"서울특별시 마포구 성암로 189, DMC빌딩 1607호","연봉 2,300만원 ~ 3,600만원",기간의 정함이 있는 근로계약,제로그래비티존(주),"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업"
71,"나무 샌딩, 포장보조직원 모집(최근 6개월 이상 무직이셨던 분(특별고용촉진지원금대상자) 우대)",관계없음,학력무관,"경기도 안산시 단원구 번영로186번길 33, 승화나라 2층 (성곡동)",월급 192만원 이상,기간의 정함이 없는 근로계약,승화나라,기타 인쇄관련 산업
72,[문정동/4등급/13-16시]요양보호사 구인신청,신입,학력무관,"서울특별시 송파구 송이로31길 56 56, .. (문정동)","시급 11,520원 ~ 11,520원",기간의 정함이 없는 근로계약,엘림재가센터,그 외 기타 비거주 복지 서비스업
